Ontology,OntologyLoadingTime_ns,MetricMeasuringTime_ns,TotalTime_ns
bc26cf47-a757-46be-9278-ea05fc30f755_Heilpflanzen_H_functional.owl,17543403,1080256,18623659
approximated_c861e21d-098a-4e3f-98bf-f24ac7f29b38_cdao.owl_functional.owl,16776112,14945805,31721917
approximated_085abd30-44cb-4bc3-90b2-ba12067a2253_premises664.rdf_functional.owl,14230082,16884686,31114768
approximated_b104bd58-3b00-495d-83d2-be4c495872a8_stribution.owl_functional.owl,26054035,35565936,61619971
approximated_00790.owl_functional.owl,56137079,103406936,159544015
approximated_19bf7357-5896-433a-96f5-550fdced9f46_Cobblestone.rdf_functional.owl,15565311,4660228,20225539
approximated_00407.owl_functional.owl,11920354,9298949,21219303
1061d93f-5382-49c7-8ff8-9bad58957dba_Parliament.owl_functional.owl,16641283,1306166,17947449
approximated_kb-owl-syntax-unraveled-depth-2-cardinalities-constant-classes-relation-axioms-value-classes.ofn_functional.owl,514915912,1133557346,1648473258
approximated_kb-owl-syntax-unraveled-depth-4-km-relevant-cardinalities-disjointness-constant-classes-relation-axioms-value-classes.ofn_functional.owl,652869869,1503744968,2156614837
7727b8c9-0c9e-4a0d-887c-d8d992e99693_LCE2.0Lite.owl_functional.owl,15606922,5325389,20932311
approximated_10142bca-f95e-4bbd-a505-26dceaca21c2_dbpedia_3.8.owl_functional.owl,56673394,94869837,151543231
approximated_19b868f4-d568-4bfe-9562-5c72353d09c3_classified.obo_functional.owl,124742645,305164716,429907361
682dd383-e47f-487a-bdd2-68e141ea75d3_llegeCoach.owl_functional.owl,22824075,2551874,25375949
approximated_955ce844-3484-4111-8c5f-25309f1e8771_opendap.owl_functional.owl,17366585,4840336,22206921
approximated_290979f9-3ec6-4592-aeb0-3fd5352ffe34_spaceScale.owl_functional.owl,23244171,26378961,49623132
approximated_00473.owl_functional.owl,2993494026,7111164170,10104658196
approximated_05eede8d-8713-442b-85e6-c96cd7d0bf67_ing_system.ttl_functional.owl,21124466,8027901,29152367
approximated_00512.owl_functional.owl,37357884,59712517,97070401
approximated_9b7ba240-c471-4350-9fc4-415016482db5_news.owl_functional.owl,46095084,10073984,56169068
approximated_042205ac-1f9f-4527-bec0-46ac7858cdb1_app_coffee.ttl_functional.owl,16826041,3779822,20605863
approximated_8ab611f5-344f-49db-950d-2b30cd2519b7_timeline.rdf_functional.owl,15227792,8602478,23830270
approximated_13cf8419-c9df-44f2-b93a-2056f1e49237_Dessert.ttl_functional.owl,15379272,3880255,19259527
approximated_a0b141af-1c70-426b-a9fa-7af1492526b0_POWER5.rdf_functional.owl,14643949,3905365,18549314
c324a1a0-6124-47d9-b68e-6833b957fc8b_classified.obo_functional.owl,89042984,246302238,335345222
approximated_823969ae-818e-466c-9a3d-31d74170ffb3_NTNames.owl_functional.owl,109200314,7621817,116822131
approximated_00055.owl_functional.owl,72128407,9394288,81522695
approximated_29487853-ff19-47d1-87f4-e27cfe4fac15_codo2owl.owl_functional.owl,50901854,8234469,59136323
approximated_6b97ba4b-1cf9-432c-9588-595963e9ce8e_Dairy_Milk.rdf_functional.owl,87966431,3818224,91784655
approximated_1b969f77-56af-4bc7-993b-a7f8a0c2523f_mboldt_Fog.ttl_functional.owl,25086366,3810791,28897157
approximated_8dda8e44-1380-47d3-ade5-93cc9ed88d8c_cell.obo_functional.owl,50352491,73484191,123836682
approximated_0d08daa0-94a5-46c0-875c-786b2eb6d907_Scroll_saw.rdf_functional.owl,110837932,3812955,114650887
approximated_9e84983e-c3ff-4a2f-9316-ad5347df1d46_Biological.owl_functional.owl,235866228,317776147,553642375
approximated_4c042000-a214-4837-be08-f3d0275608db_PersonGroup.owl_functional.owl,110849048,3666718,114515766
approximated_77d16d40-e0d0-4bf3-995a-f6bc55b87ced__furniture.rdf_functional.owl,18381865,4296036,22677901
approximated_11d727d4-eefe-4fa4-ac83-c5185cf161c7_noaOntology.owl_functional.owl,172072535,215267829,387340364
approximated_4a3300a6-72f6-4a06-9024-ef41ad0ab4db_emic_dress.ttl_functional.owl,98772130,3785845,102557975
