Ontology	OntologyLoading	Classification
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0439ba09-2667-4b33-993a-7db4ae2ef8b9_miro.obo_functional.owl	1018488059	858770464
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0441386e-7bc3-4e91-8ca3-4fe712bfe748_idomal.obo_functional.owl	898650464	704274714
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0463b024-7835-4951-b38d-8c1883a37aa3_Governor.owl_functional.owl	772747122	205473031
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0467fba4-c072-48bc-9c80-86db50415771_eo.owl_functional.owl	821243523	269162208
/media/uoa/Data1/ore2014_dataset/ClassificationEL/047ccf0a-9286-49a2-89fc-caa3a79a1ec4_e.obo.PREVIOUS_functional.owl	952762045	509347714
/media/uoa/Data1/ore2014_dataset/ClassificationEL/047db972-b42a-4b07-a9f8-350a25946255_manprotege.owl_functional.owl	972591538	-45648491692297
/media/uoa/Data1/ore2014_dataset/ClassificationEL/04c27412-1ec9-4ca3-8d7b-4af522de50b2_doid.obo_functional.owl	1003639761	914379668
/media/uoa/Data1/ore2014_dataset/ClassificationEL/04e99da3-9bae-4ba0-9acb-95f4d5a78ada_er_anatomy.obo_functional.owl	922349006	836928970
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0533595c-ead5-40f5-a57d-39f8bfd69a04_KategorieNerven_functional.owl	786629346	-45653527531098
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0549632b-d4db-47ad-a816-fe960fbab57d_Cardinal.owl_functional.owl	783267730	221746020
/media/uoa/Data1/ore2014_dataset/ClassificationEL/0552ebca-2b2f-4d14-af4a-9ffaac6a5159_HAO_functional.owl	1024322722	1996777629
/media/uoa/Data1/ore2014_dataset/ClassificationEL/055a02d0-c468-4729-ab70-d301b0c99c21_sgenechrom.owl_functional.owl	1393564202	1305244106
/media/uoa/Data1/ore2014_dataset/ClassificationEL/055e9980-d5ac-484f-bfcc-b62b0135b80f_imr.obo_functional.owl	1119603231	1031932313
/media/uoa/Data1/ore2014_dataset/ClassificationEL/057f47fd-45a4-4f88-8f5b-fad1a26b4c24_mmo.owl_functional.owl	813303906	248249248
/media/uoa/Data1/ore2014_dataset/ClassificationEL/059be0e8-6a11-4a6f-9e21-52b393d60feb_a_ontology.obo_functional.owl	857101092	225832758
/media/uoa/Data1/ore2014_dataset/ClassificationEL/05aa3148-2984-473a-b4d7-5a97ef55b620_nsynset2D0.rdf_functional.owl	2247825281	2840903738
/media/uoa/Data1/ore2014_dataset/ClassificationEL/05d1a3f4-fee8-4bfb-8324-c32403f9fbb4_Band.owl_functional.owl	833001303	237586418
/media/uoa/Data1/ore2014_dataset/ClassificationEL/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl	780989287	209739801
/media/uoa/Data1/ore2014_dataset/ClassificationEL/060d1a69-aeaa-4b91-996a-628b2efa9d60_ry_biology.owl_functional.owl	783532083	203200567
/media/uoa/Data1/ore2014_dataset/ClassificationEL/061c8c2c-c09b-4496-9ffb-16118b5507f7_Aircraft.owl_functional.owl	823791509	289939397
